time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P(Pa)
,0.003,-0.102,-0.991,-0.03,-0.01,-0.05,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.4120,0.001,-0.101,-0.981,-0.02,-0.01,-0.07,-0.0,-0.0,0.009049154818058014,101823.593
2022-10-03 7:2:41.4170,0.003,-0.101,-0.986,-0.02,-0.02,-0.1,-0.0,-0.01,0.01,101823.593
2022-10-03 7:2:41.4260,0.001,-0.102,-0.985,-0.02,-0.02,-0.13,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.4360,-0.0,-0.102,-0.985,-0.03,-0.01,-0.08,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.4460,0.001,-0.103,-0.987,0.0,-0.01,-0.12,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.4560,0.001,-0.103,-0.985,-0.01,0.0,-0.11,-0.0,-0.0,0.01,101823.593
2022-10-03 7:2:41.4670,0.001,-0.103,-0.988,-0.01,0.0,-0.11,-0.0,-0.0,0.02,101823.593
2022-10-03 7:2:41.4770,0.0,-0.103,-0.988,-0.01,0.0,-0.08,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.4870,0.001,-0.103,-0.987,0.0,0.01,-0.07,-0.01,-0.01,0.02,101823.593
2022-10-03 7:2:41.4970,0.001,-0.102,-0.985,-0.01,0.0,-0.08,-0.0,-0.01,0.01,101823.593
2022-10-03 7:2:41.5070,0.002,-0.102,-0.985,-0.02,0.0,-0.1,-0.0,-0.01,0.01,101823.593
2022-10-03 7:2:41.5170,0.002,-0.1,-0.984,-0.02,-0.01,-0.1,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.5270,0.003,-0.1,-0.984,-0.02,-0.02,-0.1,-0.01,-0.0,0.01,101823.593
2022-10-03 7:2:41.5370,0.004,-0.1,-0.984,-0.03,-0.03,-0.11,-0.01,-0.01,0.01,101823.593
2022-10-03 7:2:41.5480,0.004,-0.099,-0.984,-0.04,-0.04,-0.11,-0.01,-0.01,0.01,101823.593
